id,sku,name,description,price,stock,category_id,is_active,tag,brand,product_img,product_img1,product_img2
1,SNK001,Crunchy Almond Granola Bars,Pack of 12 honey-glazed granola bars with whole almonds and oats. Perfect for on-the-go snacking.,99.99,45,5,True,Classic,Nature's Bite,../static/img/default.jpg,../static/img/default.jpg,../static/img/default.jpg
2,SNK002,Sea Salt Dark Chocolate Squares,100g box of 70% cocoa dark chocolate squares with sea salt flakes. Artisanal craftsmanship.,68.00,30,5,True,Featured,ChocoLuxe,photos/2025/11/03/snacks_dark_chocolate_main.png,photos/2025/11/03/snacks_dark_chocolate_box.png,photos/2025/11/03/snacks_dark_chocolate_square.png
6,SNK006,Vegan Protein Bites,"10-pack of vegan protein bites with dates, peanuts, and chia seeds. 8g protein per bite.",58.00,15,5,True,Featured,PlantPower,photos/2025/11/03/vegan_protein_bites.png,photos/2025/11/03/vegan_protein_bites_2.png,photos/2025/11/03/vegan_protein_bites_1.png
7,SNK007,Cheddar Cheese Crisps,"100g canister of baked cheddar cheese crisps. Low carb, high protein.",52.00,35,5,True,Featured,CheeseLovers,photos/2025/11/03/cheddar_cheese_crisp_1.png,photos/2025/11/03/cheddar_cheese_crisp.png,photos/2025/11/03/cheddar_cheese_crisp_2.png
11,BEV001,Organic Cold-Brew Coffee,4-pack of 330ml bottles of organic cold-brew coffee. Smooth and less bitter.,95.99,30,6,True,Classic,BeanBurst,photos/2025/11/03/coldbrewcoffee3.png,photos/2025/11/03/coldbrewcoffee.png,photos/2025/11/03/coldbrewcoffee1.png
9,SNK009,Dried Mango Slices,150g bag of unsweetened dried mango slices. No added sugars or preservatives.,42.00,40,5,True,Limited,FruitHarvest,photos/2025/11/03/dired_mango_slices2.png,photos/2025/11/03/driedmangoslice1.png,photos/2025/11/03/driedmangoslice1_6AopMhu.png
8,SNK008,Matcha Green Tea Cookies,12-pack of buttery shortbread cookies infused with premium matcha powder.,79.99,20,5,True,Classic,TeaTime Bakes,photos/2025/11/03/matcha_green_tea_cookies_1.png,photos/2025/11/03/matcha_cookies_3.png,photos/2025/11/03/matcha_green_tea_cookies_2.png
10,SNK010,Pretzel Sticks with Cheese Dip,200g box of salted pretzel sticks with separate cheddar cheese dip packet.,36.00,55,5,True,Featured,SnackAttack,photos/2025/11/03/pretzel_sticks.png,photos/2025/11/03/pretzel_stick1.png,photos/2025/11/03/pretael2.png
12,BEV002,Sparkling Water Variety Pack,"12-pack of 500ml sparkling water (3 lemon, 3 lime, 3 berry, 3 orange). No sugar.",68.00,75,6,True,Limited,FizzFresh,photos/2025/11/03/sparklingwater.png,photos/2025/11/03/sparklingwater2.png,photos/2025/11/03/sparklingwater1.png
13,BEV003,Hibiscus Herbal Tea Bags,"20-count box of hibiscus herbal tea bags. Caffeine-free, naturally sweet.",50.00,40,6,True,New,TeaLeaf,photos/2025/11/03/hibiscusherbaltea.png,photos/2025/11/03/hibiscusherbalteabag1.png,photos/2025/11/03/hibiscusherbalteabag2.png
14,BEV004,Protein Smoothie - Chocolate,"6-pack of 355ml chocolate protein smoothies. 20g protein, low sugar.",119.99,20,6,True,New,ProFuel,photos/2025/11/03/proteinsmoothie2.png,photos/2025/11/03/proteinsmoothie.png,photos/2025/11/03/proteinsmoothie3.png
15,BEV005,Coconut Water,"12-pack of 500ml pure coconut water. No added sugars, electrolytes.",100.00,60,6,True,Featured,TropicalCoco,photos/2025/11/03/coconutwater.png,photos/2025/11/03/coconutwater1.png,photos/2025/11/03/coconutwater3.png
17,BEV007,Matcha Latte Mix,100g pouch of instant matcha latte mix. Just add hot water or milk.,84.00,35,6,True,Classic,GreenLeaf,photos/2025/11/03/matchalattemix.png,photos/2025/11/03/matchalattemix1.png,photos/2025/11/03/matchatlatte3.png
18,BEV008,Fruit Infused Iced Tea,6-pack of 500ml peach-flavored iced tea. Made with real fruit extract.,63.99,50,6,True,Sale,TeaZone,photos/2025/11/03/fruitinfusedicetea.png,photos/2025/11/03/fruitinfusedicetea1.png,photos/2025/11/03/fruitinfusedicetea2.png
19,BEV009,Almond Milk - Unsweetened,"6-pack of 1L unsweetened almond milk. Dairy-free, vegan-friendly.",111.99,45,6,True,Sale,PlantMilk Co.,photos/2025/11/03/almondmilk.png,photos/2025/11/03/almondmilk2.png,photos/2025/11/03/almodmilk1.png
